seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr7	139024832	139024872	41	*	X199	154791	139025878	139031065	5188	+	1005	upstream	1005	FMC1
chr7	139024832	139024872	41	*	X199	51631	139025105	139108203	83099	+	232	upstream	232	LUC7L2
chr7	156432583	156432598	16	*	X204	140545	156433353	156469820	36468	+	754	upstream	754	RNF32
chr7	156432639	156432658	20	*	X205	140545	156433353	156469820	36468	+	694	upstream	694	RNF32
chr8	67874497	67874551	55	*	X223	100129654	67858736	67874825	16090	-	0	inside	273	TCF24
chr8	67874577	67874888	312	*	X224	100129654	67858736	67874825	16090	-	0	overlapStart	0	TCF24
chr8	145912284	145912536	253	*	X236	80728	145754563	145911194	156632	-	1089	upstream	1089	ARHGAP39
chr8	145912551	145912786	236	*	X237	80728	145754563	145911194	156632	-	1356	upstream	1356	ARHGAP39
chr8	145912837	145912843	7	*	X238	80728	145754563	145911194	156632	-	1642	upstream	1642	ARHGAP39
chr8	145913080	145913385	306	*	X239	80728	145754563	145911194	156632	-	1885	upstream	1885	ARHGAP39
chr9	37079360	37079406	47	*	X246	100506710	37079893	37090398	10506	+	486	upstream	486	EBLN3P
chr9	115774611	115774695	85	*	X255	169834	115759400	115774472	15073	-	138	upstream	138	ZNF883
chr9	116111795	116112022	228	*	X256	54836	116111812	116133513	21702	+	0	overlapStart	0	BSPRY
chr10	28034578	28034673	96	*	X266	283078	27961803	28034778	72976	-	0	inside	104	MKX
chr10	44069818	44069835	18	*	X272	8187	44051793	44070066	18274	-	0	inside	230	ZNF239
chr10	44069852	44069904	53	*	X273	8187	44051793	44070066	18274	-	0	inside	161	ZNF239
chr10	64892718	64892755	38	*	X276	29982	64893007	64914786	21780	+	251	upstream	251	NRBF2
chr10	124714154	124714223	70	*	X277	80007	124690419	124713919	23501	-	234	upstream	234	C10orf88
chr11	43902059	43902121	63	*	X289	221120	43902357	43941825	39469	+	235	upstream	235	ALKBH3
chr12	133707266	133707303	38	*	X314	101060200	133696555	133707059	10505	-	206	upstream	206	ZNF891
chr12	133707266	133707303	38	*	X314	10795	133707213	133783697	76485	+	0	inside	52	ZNF268
chr12	133707266	133707303	38	*	X314	7556	133707213	133736049	28837	+	0	inside	52	ZNF10
chr16	3355256	3355309	54	*	X347	7627	3355433	3368576	13144	+	123	upstream	123	ZNF75A
chr16	3355256	3355309	54	*	X347	91151	3348808	3355439	6632	-	0	inside	129	TIGD7
chr16	4589027	4589129	103	*	X352	29965	4560677	4588816	28140	-	210	upstream	210	CDIP1
chr16	29984622	29984677	56	*	X356	9344	29985188	30003582	18395	+	510	upstream	510	TAOK2
chr16	30108076	30108113	38	*	X357	83719	30103635	30107537	3903	-	538	upstream	538	YPEL3
chr16	30108252	30108553	302	*	X358	83719	30103635	30107537	3903	-	714	upstream	714	YPEL3
chr16	30108589	30108599	11	*	X359	83719	30103635	30107537	3903	-	1051	upstream	1051	YPEL3
chr16	58163856	58163864	9	*	X367	29105	58147497	58163296	15800	-	559	upstream	559	CFAP20
chr17	5095370	5095458	89	*	X374	100130950	5095379	5138931	43553	+	0	overlapStart	0	LOC100130950
chr17	5095370	5095458	89	*	X374	84622	5082831	5095178	12348	-	191	upstream	191	ZNF594
chr17	38020316	38020322	7	*	X384	22806	37913968	38020441	106474	-	0	inside	118	IKZF3
chr19	3869161	3869178	18	*	X396	23217	3804022	3869027	65006	-	133	upstream	133	ZFR2
chr19	9732305	9732384	80	*	X399	284385	9732158	9745538	13381	+	0	inside	146	ZNF561-AS1
chr19	9732305	9732384	80	*	X399	93134	9718002	9731916	13915	-	388	upstream	388	ZNF561
chr19	23299605	23299682	78	*	X413	100129543	23299777	23330017	30241	+	94	upstream	94	ZNF730
chr19	23299702	23299735	34	*	X414	100129543	23299777	23330017	30241	+	41	upstream	41	ZNF730
chr19	35596786	35597084	299	*	X420	100128675	35549963	35597208	47246	-	0	inside	123	HPN-AS1
chr19	37663564	37663620	57	*	X427	199704	37641001	37663615	22615	-	0	overlapStart	0	ZNF585A
chr19	37663686	37663916	231	*	X428	199704	37641001	37663615	22615	-	70	upstream	70	ZNF585A
chr19	37862352	37862457	106	*	X429	84503	37862059	37883966	21908	+	0	inside	292	ZNF527
chr19	37958486	37958546	61	*	X430	148268	37958674	37976242	17569	+	127	upstream	127	ZNF570
chr19	37958562	37958632	71	*	X431	148268	37958674	37976242	17569	+	41	upstream	41	ZNF570
chr19	37960019	37960150	132	*	X432	148266	37902060	37960169	58110	-	0	inside	18	ZNF569
chr19	38085475	38085561	87	*	X433	51276	38045684	38085673	39990	-	0	inside	111	ZNF571
chr19	38147042	38147096	55	*	X434	22835	38123389	38146368	22980	-	673	upstream	673	ZFP30
chr19	38147146	38147214	69	*	X435	22835	38123389	38146368	22980	-	777	upstream	777	ZFP30
chr19	44905965	44905983	19	*	X437	26974	44889808	44905777	15970	-	187	upstream	187	ZNF285
chr19	44905965	44905983	19	*	X437	7771	44830706	44905777	75072	-	187	upstream	187	ZNF112
chr19	52408303	52408314	12	*	X442	65251	52392488	52408305	15818	-	0	overlapStart	0	ZNF649
chr19	52408359	52408428	70	*	X443	65251	52392488	52408305	15818	-	53	upstream	53	ZNF649
chr19	52430646	52430755	110	*	X444	79898	52430688	52449011	18324	+	0	overlapStart	0	ZNF613
chr19	52490035	52490046	12	*	X445	59348	52467593	52490079	22487	-	0	inside	32	ZNF350
chr19	52490235	52490278	44	*	X446	59348	52467593	52490079	22487	-	155	upstream	155	ZNF350
chr19	52490295	52490315	21	*	X447	59348	52467593	52490079	22487	-	215	upstream	215	ZNF350
chr19	52643449	52643460	12	*	X448	90317	52617653	52643191	25539	-	257	upstream	257	ZNF616
chr19	56879602	56879647	46	*	X457	147947	56879468	56891196	11729	+	0	inside	133	ZNF542P
chr19	56879602	56879647	46	*	X457	79149	56732679	56879752	147074	-	0	inside	104	ZSCAN5A
chr19	56879725	56879796	72	*	X458	147947	56879468	56891196	11729	+	0	inside	256	ZNF542P
chr19	56879725	56879796	72	*	X458	79149	56732679	56879752	147074	-	0	overlapStart	0	ZSCAN5A
chr19	56879809	56879823	15	*	X459	79149	56732679	56879752	147074	-	56	upstream	56	ZSCAN5A
chr19	56988846	56989672	827	*	X460	100128252	56989243	57006805	17563	+	0	overlapStart	0	ZNF667-AS1
chr19	56988846	56989672	827	*	X460	63934	56950693	56988770	38078	-	75	upstream	75	ZNF667
chr19	57018788	57018819	32	*	X461	57573	57019212	57040269	21058	+	392	upstream	392	ZNF471
chr19	57018850	57019110	261	*	X462	57573	57019212	57040269	21058	+	101	upstream	101	ZNF471
chr19	57019124	57019156	33	*	X463	57573	57019212	57040269	21058	+	55	upstream	55	ZNF471
chr19	57019183	57019202	20	*	X464	57573	57019212	57040269	21058	+	9	upstream	9	ZNF471
chr19	57019225	57019245	21	*	X465	57573	57019212	57040269	21058	+	0	inside	12	ZNF471
chr19	57019288	57019334	47	*	X466	57573	57019212	57040269	21058	+	0	inside	75	ZNF471
chr19	57019404	57019414	11	*	X467	57573	57019212	57040269	21058	+	0	inside	191	ZNF471
chr19	57049620	57049945	326	*	X468	140612	57050317	57068170	17854	+	371	upstream	371	ZFP28
chr19	57874902	57874928	27	*	X473	10597	57874879	57876721	1843	+	0	inside	22	TRAPPC2B
chr19	57874902	57874928	27	*	X473	284306	57874879	57890925	16047	+	0	inside	22	ZNF547
chr19	58459090	58459111	22	*	X477	10172	58452201	58459077	6877	-	12	upstream	12	ZNF256
chr19	58459368	58459423	56	*	X478	10172	58452201	58459077	6877	-	290	upstream	290	ZNF256
chr19	58513903	58513933	31	*	X479	100128398	58514262	58518574	4313	+	328	upstream	328	LOC100128398
chr19	58514018	58514062	45	*	X480	100128398	58514262	58518574	4313	+	199	upstream	199	LOC100128398
chr19	58514343	58514354	12	*	X481	100128398	58514262	58518574	4313	+	0	inside	80	LOC100128398
chr19	58545074	58545270	197	*	X482	284312	58545434	58565999	20566	+	163	upstream	163	ZSCAN1
chr20	13975675	13975729	55	*	X485	140733	13976146	16033841	2057696	+	416	upstream	416	MACROD2
chr20	13975675	13975729	55	*	X485	80343	13830044	13975979	145936	-	0	inside	249	SEL1L2
chr20	16710368	16710493	126	*	X486	6629	16710609	16722417	11809	+	115	upstream	115	SNRPB2
chr20	26189282	26189341	60	*	X488	724033	26188822	26188914	93	-	367	upstream	367	MIR663A
chr20	26189909	26190120	212	*	X489	284801	26167655	26189869	22215	-	39	upstream	39	MIR663AHG
chr20	26189909	26190120	212	*	X489	724033	26188822	26188914	93	-	994	upstream	994	MIR663A
chr20	34359546	34359557	12	*	X495	51230	34359923	34538288	178366	+	365	upstream	365	PHF20
chr20	34359639	34359645	7	*	X496	51230	34359923	34538288	178366	+	277	upstream	277	PHF20
chr20	45088079	45088109	31	*	X499	100130934	45085132	45086282	1151	-	1796	upstream	1796	ZNF663P
chr21	39601218	39601350	133	*	X508	3772	39601837	39673746	71910	+	486	upstream	486	KCNJ15
chr21	39601435	39601557	123	*	X509	3772	39601837	39673746	71910	+	279	upstream	279	KCNJ15
chr22	42485850	42486013	164	*	X512	100132273	42486937	42532702	45766	+	923	upstream	923	NDUFA6-DT
